Borough,year,month,Refuse,Paper,MGP
Bronx,2020,2,1972.7,123.2,180.8
Bronx,2020,8,2568.2,200.5,256.9
Bronx,2021,7,2534.9,211.4,243.4
Bronx,2021,8,2541.9,168.3,218.4
Brooklyn,2020,9,3650.2,453.2,450.6
Brooklyn,2020,2,2787.0,357.8,353.9
Brooklyn,2020,12,3523.2,507.8,478.2
Staten,2020,10,6406.3,840.8,828.1
Staten,2020,1,5351.9,856.2,761.6
Staten,2020,11,6941.5,749.6,685.3
Staten,2021,6,6995.0,834.7,826.5
Staten,2021,9,6554.4,794.9,771.9
Brooklyn,2020,4,4554.4,559.8,584.7
Brooklyn,2020,10,5465.9,666.2,627.4
Brooklyn,2020,2,4367.3,519.8,483.9
Brooklyn,2021,5,5291.9,555.4,539.0
Brooklyn,2021,3,5462.8,585.2,584.2
Brooklyn,2021,11,1104.9,131.8,121.8
Queens,2020,1,4562.5,691.3,779.1
Brooklyn,2020,9,6346.2,607.0,737.0
Brooklyn,2020,12,5894.8,756.5,756.6
Brooklyn,2021,6,6866.0,623.3,717.2
Brooklyn,2021,11,1253.5,128.2,131.5
Queens,2020,3,4606.7,414.2,816.5
Queens,2020,4,4935.8,428.6,922.2
Queens,2021,4,5392.4,428.1,898.3
Queens,2021,10,5940.5,480.1,797.0
Queens,2021,8,6337.9,459.2,887.4
Bronx,2020,8,4411.1,300.9,497.7
Staten,2020,4,5302.3,627.0,867.2
Staten,2020,12,5801.1,787.2,831.0
Staten,2020,11,6384.4,605.5,693.0
Bronx,2020,2,2084.6,256.1,370.2
Bronx,2020,1,2348.2,339.8,427.6
Bronx,2021,6,3086.0,330.8,433.3
Bronx,2021,9,2722.5,352.0,432.4
Queens,2020,5,7951.0,540.6,1050.0
Queens,2020,2,5414.7,377.1,742.7
Queens,2020,9,7848.3,550.9,1039.3
Queens,2021,9,7702.0,548.5,932.1
Queens,2020,6,4641.7,724.4,830.2
Queens,2020,8,4637.2,670.6,734.5
Queens,2020,2,3473.8,540.3,576.3
Brooklyn,2020,5,4743.0,555.2,573.7
Brooklyn,2020,8,4835.8,541.1,555.2
Queens,2020,6,4845.7,530.7,779.0
Queens,2020,8,4861.2,449.0,749.1
Queens,2020,1,3634.3,463.6,552.2
Queens,2020,3,3613.2,423.5,556.6
Queens,2021,4,3918.2,388.7,571.5
Brooklyn,2020,8,5716.1,322.6,533.6
Brooklyn,2021,10,5252.7,263.9,423.6
Brooklyn,2021,7,2402.3,560.0,410.6
Brooklyn,2020,11,2383.8,549.9,440.8
Queens,2020,6,6035.7,452.7,672.7
Queens,2021,6,5655.1,406.2,534.8
Queens,2021,7,5570.9,431.3,550.2
Bronx,2021,2,3141.5,315.4,476.1
Bronx,2021,6,4864.9,434.9,678.8
Bronx,2021,11,980.2,80.5,123.2
Staten,2020,10,4691.7,577.1,666.6
Staten,2020,5,5189.0,571.5,702.7
Staten,2021,2,3169.7,444.6,458.2
Staten,2021,8,4717.7,494.7,589.4
Staten,2021,11,960.1,128.7,97.5
Queens,2020,6,7718.7,870.3,1027.2
Queens,2020,8,7807.7,816.3,905.8
Queens,2021,11,1532.4,178.2,172.1
Brooklyn,2020,4,4536.1,449.1,451.7
Brooklyn,2021,11,1052.8,127.9,104.4
Brooklyn,2020,6,2383.7,215.9,287.5
